path,class,kind,pdfPage,title,status,destination,indexable,sitemap,search,navigation,claims,note
/,LIVE,home,1,GetSibu — Creative Asset Management Platform,200,,true,true,true,false,,
/about,SAFE-LIVE,company,,About GetSibu,200,,true,true,false,true,,Built from verified PDF statements only (company-pages.ts).
/about-us,REDIRECT,supporting-alias,,,308,/about,false,false,false,false,,Common alternative URL.
/analytics,LIVE,hub,,Analytics,200,,true,true,true,true,,
/analytics/agency-analytics,LIVE,page,202,Agency Analytics,200,,true,true,true,false,,
/analytics/asset-access-analytics,LIVE,page,197,Asset Access Analytics,200,,true,true,true,false,,
/analytics/asset-activity-dashboard,LIVE,page,191,Asset Activity Dashboard,200,,true,true,true,false,,
/analytics/asset-management-metrics,LIVE,page,206,Asset Management Metrics,200,,true,true,true,false,,
/analytics/asset-performance-insights,LIVE,page,204,Asset Performance Insights,200,,true,true,true,false,,
/analytics/asset-usage-analytics,LIVE,page,182,Asset Usage Analytics,200,,true,true,true,true,,
/analytics/brand-asset-analytics,LIVE,page,203,Brand Asset Analytics,200,,true,true,true,false,,
/analytics/contributor-analytics,LIVE,page,185,Contributor Analytics,200,,true,true,true,false,,
/analytics/creative-asset-analytics,LIVE,page,181,Creative Asset Analytics,200,,true,true,true,true,,
/analytics/creative-library-reporting,LIVE,page,205,Creative Library Reporting,200,,true,true,true,false,,
/analytics/creative-library-trends,LIVE,page,187,Creative Library Trends,200,,true,true,true,false,,
/analytics/creative-operations-analytics,LIVE,page,195,Creative Operations Analytics,200,,true,true,true,false,,
/analytics/creative-team-analytics,LIVE,page,199,Creative Team Analytics,200,,true,true,true,false,,
/analytics/creative-workflow-metrics,LIVE,page,208,Creative Workflow Metrics,200,,true,true,true,false,,
/analytics/daily-library-analytics,LIVE,page,188,Daily Library Analytics,200,,true,true,true,false,,
/analytics/digital-asset-kpis,LIVE,page,207,Digital Asset KPIs,200,,true,true,true,false,,
/analytics/executive-asset-analytics,LIVE,page,210,Executive Asset Analytics,200,,true,true,true,false,,
/analytics/folder-access-analytics,LIVE,page,198,Folder Access Analytics,200,,true,true,true,false,,
/analytics/library-growth-reporting,LIVE,page,209,Library Growth Reporting,200,,true,true,true,false,,
/analytics/library-health-analytics,LIVE,page,196,Library Health Analytics,200,,true,true,true,false,,
/analytics/marketing-asset-analytics,LIVE,page,200,Marketing Asset Analytics,200,,true,true,true,false,,
/analytics/monthly-library-analytics,LIVE,page,190,Monthly Library Analytics,200,,true,true,true,false,,
/analytics/most-searched-tags,LIVE,page,193,Most Searched Tags,200,,true,true,true,false,,
/analytics/production-analytics,LIVE,page,201,Production Analytics,200,,true,true,true,false,,
/analytics/storage-analytics,LIVE,page,183,Storage Analytics,200,,true,true,true,true,,
/analytics/storage-by-category,LIVE,page,192,Storage by Category,200,,true,true,true,false,,
/analytics/tag-analytics,LIVE,page,186,Tag Analytics,200,,true,true,true,false,,
/analytics/top-contributors,LIVE,page,194,Top Contributors,200,,true,true,true,false,,
/analytics/upload-analytics,LIVE,page,184,Upload Analytics,200,,true,true,true,false,,
/analytics/weekly-library-analytics,LIVE,page,189,Weekly Library Analytics,200,,true,true,true,false,,
/architecture,LIVE,page,301,GetSibu Architecture,200,,true,true,true,true,,
/architecture/api-scalability,LIVE,page,315,API Scalability,200,,true,true,true,false,,
/architecture/asset-processing-performance,LIVE,page,311,Asset Processing Performance,200,,true,true,true,false,,
/architecture/cdn-asset-delivery,LIVE,page,304,CDN Asset Delivery,200,,true,true,true,false,,
/architecture/cloud-based-asset-management,LIVE,page,303,Cloud-Based Asset Management,200,,true,true,true,false,,
/architecture/creative-asset-infrastructure,LIVE,page,302,Creative Asset Infrastructure,200,,true,true,true,false,,
/architecture/edge-caching,LIVE,page,305,Edge Caching,200,,true,true,true,false,,
/architecture/fast-creative-search,LIVE,page,307,Fast Creative Search,200,,true,true,true,false,,
/architecture/global-asset-access,LIVE,page,314,Global Asset Access,200,,true,true,true,false,,
/architecture/high-performance-dam,LIVE,page,320,High-Performance DAM,200,,true,true,true,true,,
/architecture/large-file-performance,LIVE,page,312,Large File Performance,200,,true,true,true,false,,
/architecture/large-library-performance,LIVE,page,309,Large Library Performance,200,,true,true,true,false,,
/architecture/media-preview-performance,LIVE,page,313,Media Preview Performance,200,,true,true,true,false,,
/architecture/observability,LIVE,page,319,Observability,200,,true,true,true,false,,
/architecture/scalable-asset-storage,LIVE,page,308,Scalable Asset Storage,200,,true,true,true,true,,
/architecture/search-infrastructure,LIVE,page,317,Search Infrastructure,200,,true,true,true,false,,
/architecture/search-performance,SAFE-LIVE,page,310,Search Performance,200,,true,true,true,false,sub-second-search,Published with verified context only.
/architecture/stateless-api-architecture,LIVE,page,316,Stateless API Architecture,200,,true,true,true,true,,
/architecture/storage-architecture,LIVE,page,318,Storage Architecture,200,,true,true,true,false,,
/architecture/streaming-previews,LIVE,page,306,Streaming Previews,200,,true,true,true,false,,
/business-value,LIVE,hub,,Business Value,200,,true,true,true,true,,
/business-value/agency-efficiency,LIVE,page,354,Agency Efficiency,200,,true,true,true,false,,
/business-value/asset-discovery-roi,LIVE,page,349,Asset Discovery ROI,200,,true,true,true,true,,
/business-value/asset-management-efficiency,LIVE,page,356,Asset Management Efficiency,200,,true,true,true,false,,
/business-value/collaboration-efficiency,LIVE,page,358,Collaboration Efficiency,200,,true,true,true,false,,
/business-value/creative-operations-efficiency,LIVE,page,355,Creative Operations Efficiency,200,,true,true,true,false,,
/business-value/creative-productivity,LIVE,page,351,Creative Productivity,200,,true,true,true,true,,
/business-value/creative-workflow-roi,LIVE,page,348,Creative Workflow ROI,200,,true,true,true,false,,
/business-value/dam-business-case,LIVE,page,359,DAM Business Case,200,,true,true,true,true,,
/business-value/duplicate-reduction,LIVE,page,350,Duplicate Reduction,200,,true,true,true,false,,
/business-value/marketing-productivity,LIVE,page,352,Marketing Productivity,200,,true,true,true,false,,
/business-value/production-productivity,LIVE,page,353,Production Productivity,200,,true,true,true,false,,
/business-value/storage-efficiency,LIVE,page,357,Storage Efficiency,200,,true,true,true,false,,
/business-value/why-invest-in-getsibu,LIVE,page,360,Why Invest in GetSibu,200,,true,true,true,false,,
/contact,SAFE-LIVE,company,,Contact GetSibu,200,,false,false,false,true,,Built from verified PDF statements only (company-pages.ts).
/contact-us,REDIRECT,supporting-alias,,,308,/contact,false,false,false,false,,Common alternative URL.
/developers,LIVE,page,280,GetSibu for Developers,200,,true,true,true,true,,
/developers/api,LIVE,page,261,GetSibu API,200,,true,true,true,true,,
/developers/api-authentication,LIVE,page,256,API Authentication,200,,true,true,true,true,,
/developers/api-documentation,LIVE,page,273,API Documentation,200,,true,true,true,false,,
/developers/api-first-dam,LIVE,page,254,API-First DAM,200,,true,true,true,false,,
/developers/api-security,LIVE,page,277,API Security,200,,true,true,true,false,,
/developers/api-tenant-isolation,LIVE,page,276,API Tenant Isolation,200,,true,true,true,true,,
